,dialogue_id,utterance_id,caption
0,259,13,A woman in a red shirt and black pants is standing near a wall.
1,70,7,A woman sitting on a chair with a smile on her face.
2,189,8,A man taking a picture of a woman taking a picture of herself.
3,12,19,A man and woman sitting at a table with a plate of food.
4,166,3,Two men standing next to each other in front of a wall.
5,199,13,Two women sitting on a bench next to each other.
6,205,4,A man standing in front of a window with a cat in front of him.
7,20,5,A man and woman standing next to each other.
8,267,10,A man standing in front of a group of people.
9,17,32,A man and a woman standing next to each other.
10,59,1,A man and woman are standing next to each other.
11,192,5,A woman in a blue shirt and black pants is playing a video game.
12,144,14,A man and a woman standing next to each other.
13,156,7,Two men standing next to each other in a room.
14,172,1,A woman in a green shirt and a tie standing in front of a window.
15,54,6,A man and a woman sitting at a table with a cake.
16,12,1,A woman sitting at a table with a plate of food.
17,20,0,A man and woman standing next to each other.
18,126,15,A woman standing in front of a fireplace with a fire place.
19,23,1,A man looking at his cell phone while standing in a room.
20,151,0,A man standing in front of a door with a red door.
21,237,1,A woman and a man are standing in a kitchen.
22,156,4,A man in a suit and tie standing in front of a window.
23,69,2,A man and a woman are looking at a computer screen.
24,145,11,Two men are looking at a computer screen.
25,172,0,A man standing next to a woman in a living room.
26,14,9,A man and woman are posing for a picture.
27,22,14,A man and woman are playing a video game.
28,217,2,A man and a woman are sitting on a bed.
29,161,9,A man and woman standing next to each other.
30,118,9,A man and woman sitting at a table with flowers.
31,120,10,A woman in a blue shirt and blue jeans sitting at a table with a bowl of fruit.
32,65,8,A man is looking at his phone in a store.
33,222,0,"A living room with a couch, chair, and a table."
34,11,1,A door is open to a hallway with a light on.
35,169,2,A woman in a black dress standing next to a white wall.
36,96,1,A man and woman standing next to each other.
37,83,4,A group of people sitting around a table.
38,167,16,Two women are smiling and posing for a picture.
39,236,0,A man in a suit and tie standing in a kitchen.
40,269,4,A man sitting on a chair with a woman sitting next to him.
41,18,2,A man sitting at a table with a woman.
42,183,7,A woman in a blue dress is sitting on a bed.
43,62,1,A man and woman standing in a living room.
44,141,1,A young man is laying on a bed with a phone.
45,241,2,A man sitting on a couch with a laptop.
46,149,2,Two women sitting on a couch with a laptop.
47,122,2,A man with a tie and a woman with a dress shirt.
48,39,3,A man in a suit and tie sitting on a chair.
49,206,4,A man is sitting in front of a wall with a sign.
50,166,0,A woman standing in front of a wall with a sign.
51,95,9,A man and woman standing next to each other.
52,266,9,A woman in a suit standing in front of a wall.
53,47,11,A woman standing in front of a refrigerator.
54,274,1,A man and a woman standing in a room.
55,249,4,A man in a suit and tie standing in front of a wall.
56,20,4,A man and woman standing next to each other.
57,5,0,Two men sitting on a bench with one of them holding a remote.
58,228,3,A group of people sitting around a table.
59,231,4,A man sitting on a couch holding a remote.
60,145,4,A man standing in front of a window with a blue shirt.
61,125,2,A woman and a man sitting on a chair.
62,95,0,A woman and a man standing next to each other.
63,254,8,A man holding a hot dog in his hand.
64,95,4,A group of people standing around each other.
65,96,12,A woman standing next to a refrigerator in a kitchen.
66,95,16,A group of people standing around a room.
67,109,5,A woman sitting at a table with a laptop.
68,240,10,A woman in a dress standing next to a man.
69,52,1,Two men are looking at a cell phone.
70,175,21,A woman standing next to a man in a room.
71,39,0,A woman sitting in a chair next to a table with a cake.
72,249,6,A woman holding a game controller in her hand.
73,182,2,A man in a suit and tie standing next to a woman.
74,210,6,A woman and a man standing next to each other.
75,249,7,A man and woman are playing a video game.
76,179,0,A statue of a man in a costume.
77,56,7,A man and a woman are posing for a picture.
78,185,3,A group of people standing around a table.
79,192,6,A woman is sitting at a table with blue and green plates.
80,215,1,A couple of people standing next to each other.
81,266,3,A man in a suit and tie standing next to a woman.
82,216,1,A man and woman standing next to each other.
83,75,3,A man and woman sitting on a couch in a room.
84,258,1,A man sitting at a table with a plate of food.
85,106,1,Two men standing next to each other in a dark room.
86,14,5,A woman is standing in front of a man in a kitchen.
87,261,2,A group of people sitting in a room with a computer.
88,22,20,A man and a woman holding a Nintendo Wii game controller.
89,99,1,A man is holding a toothbrush in a bathroom sink.
90,139,5,A man and woman are standing in a room.
91,79,0,A woman standing next to a door with a suitcase.
92,200,0,A man and a woman are sitting in a kitchen.
93,211,1,A man and a woman standing in front of a mirror.
94,202,2,A man in a black shirt and black pants standing in front of a refrigerator.
95,17,28,A man and woman standing next to each other.
96,44,1,A man in a suit and tie standing next to a wall.
97,234,0,Two men standing next to each other in front of a store.
98,4,4,A woman and a man are standing in a kitchen.
99,34,10,Two women sitting on a couch with a remote.
100,39,8,A woman sitting on a chair with a flower in her hand.
101,14,6,A woman holding a baseball bat in front of a wall.
102,157,2,A baby is sleeping in a crib with a parent.
